timestamp,cycle,macro,capital,equity,pnl,open_pos,longs,shorts,win_rate,profit_factor,sharpe,expectancy,max_dd,cur_dd,total_trades,wins,losses,symbols,last_sig
2026-04-02T13:13:17.078Z,7696,BEAR,26950.81,922889.43,69612.18,12,0,12,71.0,4.450,0.580,3.100,0.00,0.50,49,35,14,BLUR:S|BLAST:S|LDO:S|ETH:S|AIXBT:S|APE:S|GMT:S|WIF:S|GRASS:S|NIL:S|DYDX:S|MET:S,kPEPE SKIP
2026-04-02T13:30:28.440Z,7726,BEAR,71541.19,924133.71,30707.45,12,0,12,73.6,5.091,0.637,3.418,14.14,0.00,53,39,14,BLUR:S|BLAST:S|LDO:S|ETH:S|AIXBT:S|APE:S|GMT:S|WIF:S|GRASS:S|NIL:S|MET:S|AVAX:S,ARB BUY
2026-04-02T14:12:25.819Z,7793,BEAR,123775.03,916401.20,38553.51,12,0,12,75.0,5.647,0.679,3.448,14.14,0.23,60,45,15,BLUR:S|BLAST:S|LDO:S|AIXBT:S|APE:S|GMT:S|WIF:S|GRASS:S|MET:S|FOGO:S|ETH:S|BNB:S,XPL BUY
2026-04-02T14:40:02.961Z,7835,BEAR,391398.33,902902.47,55009.28,11,0,11,68.0,3.940,0.520,2.900,3.10,3.10,71,48,23,BLUR:S|BLAST:S|AIXBT:S|APE:S|GMT:S|MET:S|FOGO:S|DYDX:S|STABLE:S|MEGA:S|BTC:S,kFLOKI SKIP
2026-04-02T15:11:19.000Z,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-04-02T16:39:35.749Z,8020,BEAR,352178.15,937356.90,87552.97,12,0,12,50.9,2.786,0.311,3.017,73.93,2.56,110,56,54,BLUR:S|BLAST:S|APE:S|DYDX:S|MEGA:S|ZEC:S|SKY:S|FARTCOIN:S|KAITO:S|ZRO:S|JTO:S|VINE:S,GOAT BUY
2026-04-02T17:22:38.814Z,8094,BEAR,258328.88,927769.04,87443.09,13,1,12,50.5,2.782,0.309,2.987,73.93,2.83,111,56,55,BLUR:S|BLAST:S|APE:S|DYDX:S|MEGA:S|ZEC:S|SKY:S|KAITO:S|ZRO:S|JTO:S|VINE:S|BTC:L|NIL:S,KAITO SELL
2026-04-02T17:42:12.220Z,8124,BEAR,346380.02,934068.67,87344.50,12,0,12,50.0,2.781,0.307,2.959,73.93,2.94,112,56,56,BLUR:S|BLAST:S|APE:S|DYDX:S|MEGA:S|ZEC:S|SKY:S|KAITO:S|ZRO:S|JTO:S|VINE:S|NIL:S,TIA SKIP
2026-04-02T18:02:09.674Z,8156,BEAR,346380.02,949462.02,88531.50,12,0,12,50.9,2.823,0.312,2.976,73.93,0.00,114,58,56,BLUR:S|BLAST:S|APE:S|DYDX:S|MEGA:S|ZEC:S|SKY:S|KAITO:S|JTO:S|VINE:S|NIL:S|PEOPLE:S,ACE SELL
2026-04-02T18:22:45.356Z,8189,BEAR,346380.02,950445.83,88531.50,12,0,12,50.9,2.823,0.312,2.976,73.93,0.00,114,58,56,BLUR:S|BLAST:S|APE:S|DYDX:S|MEGA:S|ZEC:S|SKY:S|KAITO:S|JTO:S|VINE:S|NIL:S|PEOPLE:S,LDO SKIP
2026-04-02T18:44:30.205Z,8223,BEAR,336731.84,963261.89,98298.99,12,0,12,50.4,2.955,0.322,3.112,73.93,0.16,117,59,58,BLAST:S|APE:S|DYDX:S|MEGA:S|ZEC:S|SKY:S|KAITO:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|FOGO:S,APE SELL
2026-04-02T19:06:29.677Z,8258,BEAR,266447.10,948665.87,98551.31,13,1,12,51.3,2.976,0.323,3.094,73.93,0.00,119,61,58,BLAST:S|APE:S|DYDX:S|ZEC:S|SKY:S|KAITO:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|FOGO:S|BTC:L|SUSHI:S,BRETT BUY
2026-04-02T19:27:25.066Z,8291,BEAR,244021.93,950961.27,98551.31,13,1,12,51.3,2.976,0.323,3.094,73.93,0.00,119,61,58,BLAST:S|APE:S|DYDX:S|ZEC:S|SKY:S|KAITO:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|FOGO:S|BTC:L|SUSHI:S,BLUR SELL
2026-04-02T19:53:52.202Z,8327,BEAR,952968.00,953033.93,113854.26,13,1,12,51.0,2.970,0.320,0.031,1.70,1.70,120,61,59,BLAST:S|APE:S|ZEC:S|SKY:S|KAITO:S|JTO:S|NIL:S|PEOPLE:S|BLUR:S|FOGO:S|BTC:L|SUSHI:S|LIT:S,HOLD
